"y","x1","x2","x3","date","month_factor","fev","mar","abril","maio","jun","jul","ago","set","out","nov","dez","areas"
5,0,1,0,2019-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Other"
2,0,1,0,2019-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Other"
2,0,1,0,2020-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Other"
32,0,1,0,2020-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Other"
12,0,1,0,2020-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Other"
4,0,1,0,2020-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Other"
2,0,1,0,2020-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Other"
2,0,1,0,2020-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Other"
2,0,1,0,2021-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Other"
1,0,1,0,2021-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Other"
1,0,1,0,2021-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Other"
6,0,1,0,2021-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Other"
2,0,1,0,2021-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Other"
3,0,1,0,2021-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Other"
3,0,1,0,2021-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Other"
1,0,1,0,2022-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Other"
4,0,1,0,2022-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Other"
14,0,1,0,2022-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Other"
6,0,1,0,2022-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Other"
4,0,1,0,2022-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Other"
3,0,1,0,2022-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Other"
1,0,1,0,2023-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Other"
1,0,1,0,2023-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Other"
4,0,1,0,2023-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Other"
11,0,1,0,2023-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Other"
13,0,1,0,2023-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Other"
31,0,1,0,2023-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Other"
17,0,1,0,2023-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Other"
4,0,1,0,2023-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Other"
2,0,1,0,2024-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Other"
4,0,1,0,2024-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Other"
13,0,1,0,2024-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Other"
34,0,1,0,2024-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Other"
22,0,1,0,2024-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Other"
9,0,1,0,2024-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Other"
256,0,0,1,2018-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Vegetation"
601,0,0,1,2018-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Vegetation"
366,0,0,1,2018-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Vegetation"
82,0,0,1,2018-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Vegetation"
3,0,0,1,2018-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Vegetation"
8,0,0,1,2019-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Vegetation"
19,0,0,1,2019-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Vegetation"
52,0,0,1,2019-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Vegetation"
1,0,0,1,2019-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Vegetation"
5,0,0,1,2019-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Vegetation"
8,0,0,1,2019-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Vegetation"
149,0,0,1,2019-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Vegetation"
628,0,0,1,2019-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Vegetation"
357,0,0,1,2019-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Vegetation"
69,0,0,1,2019-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Vegetation"
66,0,0,1,2019-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Vegetation"
19,0,0,1,2019-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Vegetation"
34,0,0,1,2020-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Vegetation"
18,0,0,1,2020-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Vegetation"
18,0,0,1,2020-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Vegetation"
1,0,0,1,2020-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Vegetation"
22,0,0,1,2020-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Vegetation"
257,0,0,1,2020-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Vegetation"
968,0,0,1,2020-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Vegetation"
530,0,0,1,2020-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Vegetation"
140,0,0,1,2020-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Vegetation"
38,0,0,1,2020-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Vegetation"
12,0,0,1,2020-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Vegetation"
2,0,0,1,2021-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Vegetation"
5,0,0,1,2021-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Vegetation"
3,0,0,1,2021-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Vegetation"
1,0,0,1,2021-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Vegetation"
11,0,0,1,2021-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Vegetation"
15,0,0,1,2021-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Vegetation"
144,0,0,1,2021-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Vegetation"
770,0,0,1,2021-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Vegetation"
272,0,0,1,2021-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Vegetation"
196,0,0,1,2021-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Vegetation"
17,0,0,1,2021-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Vegetation"
20,0,0,1,2022-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Vegetation"
3,0,0,1,2022-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Vegetation"
2,0,0,1,2022-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Vegetation"
51,0,0,1,2022-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Vegetation"
23,0,0,1,2022-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Vegetation"
161,0,0,1,2022-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Vegetation"
580,0,0,1,2022-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Vegetation"
834,0,0,1,2022-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Vegetation"
176,0,0,1,2022-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Vegetation"
94,0,0,1,2022-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Vegetation"
27,0,0,1,2022-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Vegetation"
11,0,0,1,2023-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Vegetation"
